ColorName,Color,CSSName
Black,#272c34ff,--mud-palette-black
White,#ffffffff,--mud-palette-white
Primary,#594ae2ff,--mud-palette-primary
PrimaryContrastText,#ffffffff,--mud-palette-primary-text
Secondary,#ff4081ff,--mud-palette-secondary
SecondaryContrastText,#ffffffff,--mud-palette-secondary-text
Tertiary,#1ec8a5ff,--mud-palette-tertiary
TertiaryContrastText,#ffffffff,--mud-palette-tertiary-text
Info,#2196f3ff,--mud-palette-info
InfoContrastText,#ffffffff,--mud-palette-info-text
Success,#00c853ff,--mud-palette-success
SuccessContrastText,#ffffffff,--mud-palette-success-text
Warning,#ff9800ff,--mud-palette-warning
WarningContrastText,#ffffffff,--mud-palette-warning-text
Error,#f44336ff,--mud-palette-error
ErrorContrastText,#ffffffff,--mud-palette-error-text
Dark,#424242ff,--mud-palette-dark
DarkContrastText,#ffffffff,--mud-palette-dark-text
TextPrimary,#424242ff,--mud-palette-text-primary
TextSecondary,#00000089,--mud-palette-text-secondary
TextDisabled,#00000060,--mud-palette-text-disabled
ActionDefault,#00000089,--mud-palette-action-default
ActionDisabled,#00000042,--mud-palette-action-disabled
ActionDisabledBackground,#0000001e,--mud-palette-action-disabled-background
Background,#ffffffff,--mud-palette-background
BackgroundGrey,#f5f5f5ff,--mud-palette-background-grey
Surface,#ffffffff,--mud-palette-surface
DrawerBackground,#ffffffff,--mud-palette-drawer-background
DrawerText,#424242ff,--mud-palette-drawer-text
DrawerIcon,#616161ff,--mud-palette-drawer-icon
AppbarBackground,#594ae2ff,--mud-palette-appbar-background
AppbarText,#ffffffff,--mud-palette-appbar-text
LinesDefault,#0000001e,--mud-palette-lines-default
LinesInputs,#bdbdbdff,--mud-palette-lines-inputs
TableLines,#e0e0e0ff,--mud-palette-table-lines
TableStriped,#00000005,--mud-palette-table-striped
TableHover,#0000000a,--mud-palette-table-hover
Divider,#e0e0e0ff,--mud-palette-divider
DividerLight,#000000cc,--mud-palette-divider-light
PrimaryDarken,"rgb(62,44,221)",--mud-palette-primary-darken
PrimaryLighten,"rgb(118,106,231)",--mud-palette-primary-lighten
SecondaryDarken,"rgb(255,31,105)",--mud-palette-secondary-darken
SecondaryLighten,"rgb(255,102,153)",--mud-palette-secondary-lighten
TertiaryDarken,"rgb(25,169,140)",--mud-palette-tertiary-darken
TertiaryLighten,"rgb(42,223,187)",--mud-palette-tertiary-lighten
InfoDarken,"rgb(12,128,223)",--mud-palette-info-darken
InfoLighten,"rgb(71,167,245)",--mud-palette-info-lighten
SuccessDarken,"rgb(0,163,68)",--mud-palette-success-darken
SuccessLighten,"rgb(0,235,98)",--mud-palette-success-lighten
WarningDarken,"rgb(214,129,0)",--mud-palette-warning-darken
WarningLighten,"rgb(255,167,36)",--mud-palette-warning-lighten
ErrorDarken,"rgb(242,28,13)",--mud-palette-error-darken
ErrorLighten,"rgb(246,96,85)",--mud-palette-error-lighten
DarkDarken,"rgb(46,46,46)",--mud-palette-dark-darken
DarkLighten,"rgb(87,87,87)",--mud-palette-dark-lighten
HoverOpacity,0.06,--mud-palette-hover-opacity
GrayDefault,#9E9E9E,--mud-palette-gray-default
GrayLight,#BDBDBD,--mud-palette-gray-light
GrayLighter,#E0E0E0,--mud-palette-gray-lighter
GrayDark,#757575,--mud-palette-gray-dark
GrayDarker,#616161,--mud-palette-gray-darker
OverlayDark,"rgba(33,33,33,0.4980392156862745)",--mud-palette-overlay-dark
OverlayLight,"rgba(255,255,255,0.4980392156862745)",--mud-palette-overlay-light
