Time,EnergyUsage,SetPoint,Fan,IsRunning
10:15 AM,200,68,0,FALSE
10:30 AM,250,69,0,FALSE
10:45 AM,340,75,2,FALSE
11:00 AM,360,78,2,FALSE
11:15 AM,360,76,2,TRUE
11:30 AM,280,75,1,TRUE
11:45 AM,200,74,0,TRUE
12:00 PM,200,74,0,TRUE
12:15 PM,200,74,0,TRUE
12:30 PM,220,74,0,TRUE
12:45 PM,220,74,0,TRUE
1:00 PM,220,72,1,TRUE
1:15 PM,200,68,1,TRUE
1:30 PM,200,70,2,TRUE
1:45 PM,200,70,1,TRUE
2:00 PM,220,70,0,TRUE
2:15 PM,220,70,0,TRUE
2:30 PM,200,71,0,TRUE
2:45 PM,190,72,0,FALSE
3:00 PM,180,72,0,FALSE
3:15 PM,180,71,1,FALSE
3:30 PM,170,72,0,FALSE
